,county,date,new_cases,new_deaths
356,San Mateo,2020-06-16,27,0
357,San Mateo,2020-06-17,31,0
358,San Mateo,2020-06-18,25,0
359,San Mateo,2020-06-19,39,4
360,San Mateo,2020-06-20,42,0
361,San Mateo,2020-06-21,26,0
362,San Mateo,2020-06-22,32,0
363,San Mateo,2020-06-23,94,0
364,San Mateo,2020-06-24,57,1
365,San Mateo,2020-06-25,36,0
366,San Mateo,2020-06-26,63,2
367,San Mateo,2020-06-27,33,0
368,San Mateo,2020-06-28,66,0
369,San Mateo,2020-06-29,87,0
370,San Mateo,2020-06-30,57,2
371,San Mateo,2020-07-01,20,0
372,San Mateo,2020-07-02,64,0
373,San Mateo,2020-07-03,49,0
374,San Mateo,2020-07-04,93,0
375,San Mateo,2020-07-05,43,0
376,San Mateo,2020-07-06,75,0
377,San Mateo,2020-07-07,41,3
378,San Mateo,2020-07-08,42,0
379,San Mateo,2020-07-09,59,0
380,San Mateo,2020-07-10,52,1
381,San Mateo,2020-07-11,112,0
382,San Mateo,2020-07-12,32,0
383,San Mateo,2020-07-13,69,0
384,San Mateo,2020-07-14,116,2
385,San Mateo,2020-07-15,85,0
386,San Mateo,2020-07-16,78,0
387,San Mateo,2020-07-17,71,0
388,San Mateo,2020-07-18,81,0
389,San Mateo,2020-07-19,34,0
390,San Mateo,2020-07-20,87,0
391,San Mateo,2020-07-21,124,0
392,San Mateo,2020-07-22,63,0
393,San Mateo,2020-07-23,99,0
394,San Mateo,2020-07-24,59,3
395,San Mateo,2020-07-25,69,0
396,San Mateo,2020-07-26,55,0
397,San Mateo,2020-07-27,30,0
398,San Mateo,2020-07-28,63,1
399,San Mateo,2020-07-29,134,0
400,San Mateo,2020-07-30,64,0
401,San Mateo,2020-07-31,47,1
402,San Mateo,2020-08-01,104,0
403,San Mateo,2020-08-02,98,0
404,San Mateo,2020-08-03,43,0
405,San Mateo,2020-08-04,29,1
406,San Mateo,2020-08-05,5,0
407,San Mateo,2020-08-06,190,0
408,San Mateo,2020-08-07,63,0
409,San Mateo,2020-08-08,73,0
410,San Mateo,2020-08-09,73,0
411,San Mateo,2020-08-10,128,0
412,San Mateo,2020-08-11,117,2
413,San Mateo,2020-08-12,88,0
414,San Mateo,2020-08-13,76,0
415,San Mateo,2020-08-14,152,4
416,San Mateo,2020-08-15,205,0
417,San Mateo,2020-08-16,82,0
418,San Mateo,2020-08-17,45,0
419,San Mateo,2020-08-18,87,1
420,San Mateo,2020-08-19,72,0
421,San Mateo,2020-08-20,42,0
422,San Mateo,2020-08-21,65,1
423,San Mateo,2020-08-22,108,0
424,San Mateo,2020-08-23,89,0
425,San Mateo,2020-08-24,52,0
426,San Mateo,2020-08-25,134,2
427,San Mateo,2020-08-26,19,0
428,San Mateo,2020-08-27,73,0
429,San Mateo,2020-08-28,55,1
430,San Mateo,2020-08-29,145,0
431,San Mateo,2020-08-30,85,0
432,San Mateo,2020-08-31,52,0
433,San Mateo,2020-09-01,67,1
434,San Mateo,2020-09-02,16,0
435,San Mateo,2020-09-03,63,0
436,San Mateo,2020-09-04,64,3
437,San Mateo,2020-09-05,77,0
438,San Mateo,2020-09-06,35,0
439,San Mateo,2020-09-07,22,0
440,San Mateo,2020-09-08,51,1
441,San Mateo,2020-09-09,18,0
442,San Mateo,2020-09-10,51,0
443,San Mateo,2020-09-11,82,3
444,San Mateo,2020-09-12,148,0
445,San Mateo,2020-09-13,52,0
446,San Mateo,2020-09-14,36,0
447,San Mateo,2020-09-15,48,3
448,San Mateo,2020-09-16,49,0
449,San Mateo,2020-09-17,40,0
450,San Mateo,2020-09-18,78,0
451,San Mateo,2020-09-19,96,1
452,San Mateo,2020-09-20,40,0
453,San Mateo,2020-09-21,41,0
454,San Mateo,2020-09-22,52,1
455,San Mateo,2020-09-23,60,0
456,San Mateo,2020-09-24,25,0
457,San Mateo,2020-09-25,71,6
458,San Mateo,2020-09-26,62,0
459,San Mateo,2020-09-27,57,0
460,San Mateo,2020-09-28,16,0
461,San Mateo,2020-09-29,37,0
462,San Mateo,2020-09-30,15,0
463,San Mateo,2020-10-01,47,0
464,San Mateo,2020-10-02,64,2
465,San Mateo,2020-10-03,77,0
466,San Mateo,2020-10-04,36,0
467,San Mateo,2020-10-05,38,0
468,San Mateo,2020-10-06,38,2
469,San Mateo,2020-10-07,46,0
470,San Mateo,2020-10-08,64,0
471,San Mateo,2020-10-09,96,1
472,San Mateo,2020-10-10,78,0
473,San Mateo,2020-10-11,22,0
474,San Mateo,2020-10-12,22,0
475,San Mateo,2020-10-13,24,0
476,San Mateo,2020-10-14,23,0
477,San Mateo,2020-10-15,31,0
478,San Mateo,2020-10-16,65,2
479,San Mateo,2020-10-17,18,0
480,San Mateo,2020-10-18,80,0
481,San Mateo,2020-10-19,65,0
482,San Mateo,2020-10-20,91,0
483,San Mateo,2020-10-21,71,0
484,San Mateo,2020-10-22,66,0
485,San Mateo,2020-10-23,76,2
486,San Mateo,2020-10-24,70,0
487,San Mateo,2020-10-25,45,0
488,San Mateo,2020-10-26,50,0
489,Tuolumne,2020-03-21,0,0
490,San Mateo,2020-10-27,37,0
491,San Mateo,2020-10-28,27,0
492,San Mateo,2020-10-29,44,0
493,San Mateo,2020-10-30,62,2
494,San Mateo,2020-10-31,46,0
495,San Mateo,2020-11-01,27,0
496,San Mateo,2020-11-02,48,0
497,San Mateo,2020-11-03,78,0
498,San Mateo,2020-11-04,50,0
499,San Mateo,2020-11-05,79,0
500,San Mateo,2020-11-06,52,1
501,San Mateo,2020-11-07,106,0
502,San Mateo,2020-11-08,90,0
503,San Mateo,2020-11-09,74,0
504,San Mateo,2020-11-10,82,3
505,San Mateo,2020-11-11,69,0
506,San Mateo,2020-11-12,78,0
507,San Mateo,2020-11-13,96,3
508,San Mateo,2020-11-14,111,0
509,San Mateo,2020-11-15,55,0
510,San Mateo,2020-11-16,50,0
511,San Mateo,2020-11-17,93,0
512,San Mateo,2020-11-18,140,0
513,San Mateo,2020-11-19,83,0
514,San Mateo,2020-11-20,266,1
515,San Mateo,2020-11-21,158,0
516,San Mateo,2020-11-22,90,0
517,San Mateo,2020-11-23,136,0
518,San Mateo,2020-11-24,194,1
519,San Mateo,2020-11-25,56,0
520,San Mateo,2020-11-26,101,0
521,San Mateo,2020-11-27,157,0
522,San Mateo,2020-11-28,168,0
523,San Mateo,2020-11-29,137,0
524,San Mateo,2020-11-30,99,0
525,San Mateo,2020-12-01,219,0
526,San Mateo,2020-12-02,262,0
527,San Mateo,2020-12-03,152,0
528,San Mateo,2020-12-04,203,6
529,San Mateo,2020-12-05,400,0
530,San Mateo,2020-12-06,343,0
531,Santa Barbara,2020-03-18,2,0
532,Santa Barbara,2020-03-19,3,0
533,Santa Barbara,2020-03-20,2,0
534,Santa Barbara,2020-03-21,1,0
535,Santa Barbara,2020-03-22,8,0
536,Santa Barbara,2020-03-23,2,0
537,Santa Barbara,2020-03-24,2,0
538,Santa Barbara,2020-03-25,5,0
539,Santa Barbara,2020-03-26,8,0
540,Santa Barbara,2020-03-27,4,0
541,Santa Barbara,2020-03-28,12,0
542,Santa Barbara,2020-03-29,3,0
543,Santa Barbara,2020-03-30,27,0
544,Santa Barbara,2020-03-31,10,0
545,Santa Barbara,2020-04-01,14,0
546,Santa Barbara,2020-04-02,22,1
547,Santa Barbara,2020-04-03,29,0
548,Santa Barbara,2020-04-04,13,0
549,Santa Barbara,2020-04-05,4,0
550,Santa Barbara,2020-04-06,18,1
551,Santa Barbara,2020-04-07,20,0
552,Santa Barbara,2020-04-08,12,0
553,Santa Barbara,2020-04-09,11,0
554,Santa Barbara,2020-04-10,22,0
555,Santa Barbara,2020-04-11,4,0
556,Santa Barbara,2020-04-12,3,0
557,Santa Barbara,2020-04-13,10,0
558,Santa Barbara,2020-04-14,21,0
559,Santa Barbara,2020-04-15,25,0
560,Santa Barbara,2020-04-16,14,0
561,Santa Barbara,2020-04-17,18,1
562,Santa Barbara,2020-04-18,23,1
563,Santa Barbara,2020-04-19,5,0
564,Santa Barbara,2020-04-20,11,0
565,Santa Barbara,2020-04-21,26,1
566,Santa Barbara,2020-04-22,23,0
567,Santa Barbara,2020-04-23,8,0
568,Santa Barbara,2020-04-24,5,1
569,Santa Barbara,2020-04-25,7,1
570,Santa Barbara,2020-04-26,7,0
571,Santa Barbara,2020-04-27,2,0
572,Santa Barbara,2020-04-28,3,0
573,Santa Barbara,2020-04-29,8,1
574,Santa Barbara,2020-04-30,13,0
575,Santa Barbara,2020-05-01,9,0
